customer_id,age,monthly_income_naira,monthly_spend_naira,account_tenure_years,transactions_per_month
CUST0099,28,114823,67223,3.6,4
CUST0100,29,79246,56049,2.1,6
CUST0101,36,552144,278369,6.2,24
CUST0102,42,1796301,530626,10.5,20
CUST0103,37,2184940,606666,8.6,33
CUST0104,21,106008,61207,0.8,14
CUST0105,30,44384,24344,4.3,10
CUST0106,32,471938,269127,2.1,22
CUST0107,24,30663,19905,3.3,14
CUST0108,44,1498884,588271,6.5,33
CUST0109,55,2094064,850315,13.6,26
CUST0110,41,535392,248951,9.8,25
CUST0111,50,1561710,760273,6.3,22
CUST0112,24,114362,79945,3.2,8
CUST0113,44,1486767,534915,10.7,48
CUST0114,32,339335,185946,2.7,15
CUST0115,29,432522,181248,9.3,22
CUST0116,35,1892901,712625,9.2,39
CUST0117,49,1317761,566649,14.6,40
CUST0118,26,70514,54265,4.6,7
CUST0119,52,945484,240652,4.7,49
CUST0120,51,1702965,811664,14.1,51
CUST0121,30,598372,298367,8.3,28
CUST0122,32,583417,280432,3.9,29
CUST0123,43,251076,125864,5.1,22
CUST0124,33,115589,79721,2.5,7
CUST0125,35,405330,189589,6.4,26
CUST0126,52,2173568,794808,12.1,51
CUST0127,36,956331,369037,5.4,47
CUST0128,32,138908,96340,0.1,9
CUST0129,31,133288,102516,3.5,12
CUST0130,29,145494,96698,4.5,14
CUST0131,28,578478,286954,8.7,20
CUST0132,25,128162,91993,3.5,12
CUST0133,54,1119969,455745,8.4,20
CUST0134,48,1081961,377953,10.4,26
CUST0135,31,64770,39012,1.5,5
CUST0136,38,245386,154302,8.5,26
CUST0137,32,2045148,711939,5.7,20
CUST0138,35,2107511,1005520,4.7,24
CUST0139,19,69708,37884,0.5,12
CUST0140,55,1223302,501905,5.6,38
CUST0141,24,81305,45202,0.1,14
CUST0142,30,1811681,662172,13.9,21
CUST0143,25,120666,74333,4.8,4
CUST0144,21,68160,52492,0.7,11
CUST0145,39,236682,107501,4.1,13
CUST0146,32,81253,49139,3.7,3
CUST0147,44,258642,142433,7.8,14
CUST0148,30,68784,34582,2.5,9
CUST0149,27,52388,34920,3.5,12
CUST0150,33,1421710,367346,9.0,43
CUST0151,57,1296783,566568,14.2,29
CUST0152,35,960060,450556,11.8,23
CUST0153,33,57352,34509,4.4,7
CUST0154,29,37627,24338,1.8,8
CUST0155,35,1407364,605959,6.0,42
CUST0156,46,545255,346310,4.4,26
CUST0157,26,67723,44265,4.6,6
CUST0158,25,30834,23623,1.8,3
CUST0159,26,33050,16929,3.2,7
CUST0160,59,1697796,664319,9.8,54
CUST0161,47,233314,103021,2.4,25
CUST0162,28,222348,94874,6.7,15
CUST0163,31,424747,257268,2.3,26
CUST0164,32,367178,191086,3.3,21
CUST0165,39,475212,217338,8.4,26
CUST0166,59,1535144,428650,9.7,48
CUST0167,47,1571857,490612,7.8,54
CUST0168,29,136466,77962,4.5,8
CUST0169,24,59915,33092,4.6,10
CUST0170,44,931544,406141,12.1,51
CUST0171,21,141564,110053,4.3,10
CUST0172,40,538857,221390,3.6,21
CUST0173,25,126974,96907,1.6,5
CUST0174,48,432218,252953,6.6,27
CUST0175,51,1962743,565933,6.1,42
CUST0176,39,2154206,809292,9.0,38
CUST0177,25,60214,42605,1.7,12
CUST0178,41,215675,124454,6.4,28
CUST0179,32,57456,44874,4.8,14
CUST0180,28,221394,119332,5.0,16
CUST0181,30,421481,273524,6.0,25
CUST0182,21,33772,23750,4.7,6
CUST0183,41,1557419,755283,10.5,27
CUST0184,25,117481,60040,1.2,9
CUST0185,32,97353,64324,2.5,10
CUST0186,43,470708,218054,3.7,16
CUST0187,22,92728,55288,1.4,14
CUST0188,34,49347,26353,1.9,3
CUST0189,25,133572,103182,3.3,8
CUST0190,19,69022,39523,1.2,6
CUST0191,39,589699,244410,2.7,27
CUST0192,32,572372,366132,9.7,22
CUST0193,45,358661,168549,6.4,25
CUST0194,30,80089,55471,4.0,8
CUST0195,37,482333,270932,8.3,28
CUST0196,49,1185519,531713,12.8,42
CUST0197,32,430370,218892,5.0,13
CUST0198,20,89255,66994,3.6,14
CUST0199,45,440976,208857,2.2,28
CUST0200,34,546847,323623,2.5,22
